DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2015
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 15";55;49;130;14;225;108;311;307;541;1963;468;657;3980;607;243;1292;11743;501;2222;49752;4281;318;189;1163;646;4679;548;86992
"Semana 16";56;44;80;29;161;58;244;271;412;2339;303;546;3518;427;174;994;12592;549;1486;40821;3008;237;114;1008;656;4084;609;74820
"Semana 17";56;58;76;11;151;60;227;170;387;2879;340;512;3265;462;82;857;13637;670;1811;37686;2682;212;102;1129;674;4834;641;73671
"Semana 18";52;49;75;30;205;65;311;193;369;3143;250;740;3417;565;150;1120;15563;892;1850;34412;2729;187;108;1058;734;5756;783;74806
"Semana 19";52;31;77;27;197;48;208;188;390;3933;265;748;2657;569;98;1053;12529;1007;1823;26016;1559;131;53;736;726;5005;525;60651
"Semana 20";35;36;31;19;172;127;230;113;290;4257;167;714;2397;629;81;825;10525;921;1271;16608;1120;104;50;599;774;4205;446;46746
"Semana 21";20;35;60;10;160;58;241;90;232;3822;161;655;1729;538;80;850;7810;929;1029;11907;950;82;15;500;683;3712;545;36903
"Semana 22";18;35;21;12;110;36;155;54;141;3003;85;487;1277;453;53;575;4080;624;892;7069;747;38;14;391;537;2887;358;24152
"Semana 23";27;38;52;41;152;46;176;118;179;3085;105;544;1103;515;36;659;4418;914;1048;6838;622;33;10;334;480;3151;453;25177
"Semana 24";28;17;44;39;116;51;177;76;124;2818;58;328;1005;502;31;581;3383;857;834;4946;469;25;10;323;512;2457;401;20212
"Semana 25";19;26;26;30;112;39;167;53;70;2656;41;237;624;459;20;339;2502;676;619;3528;351;20;3;203;398;1637;304;15159
"Semana 26";28;18;30;24;70;37;122;47;59;2010;31;282;539;356;14;359;1387;728;925;2603;199;12;5;147;351;1394;205;11982
"Semana 27";17;16;41;18;71;35;89;58;64;1609;23;277;678;356;28;525;1014;611;450;1128;111;5;1;97;272;804;110;8508
"Semana 28";17;14;22;27;76;35;98;84;29;1272;31;237;383;408;31;461;707;591;500;1077;77;3;-;88;216;693;114;7291
"Semana 29";11;8;47;42;69;32;67;46;31;1197;25;156;336;401;23;432;542;556;479;1030;101;3;-;91;220;677;98;6720
"Semana 30";9;5;43;33;55;29;70;37;40;843;33;138;358;307;17;335;475;632;542;936;115;4;2;139;169;561;88;6015
"Semana 31";7;5;39;44;102;37;67;54;23;938;49;102;257;222;26;292;474;642;445;693;54;2;4;74;166;491;32;5341
"Semana 32";14;5;37;27;92;39;79;32;34;835;13;90;206;198;23;253;281;610;435;488;84;2;3;79;188;397;55;4599
"Semana 33";13;12;26;34;111;24;54;18;41;682;13;90;294;167;39;233;273;522;559;567;73;4;-;74;231;352;77;4583
"Semana 34";10;6;19;37;84;26;40;39;21;593;8;63;341;125;31;184;187;517;353;433;42;1;4;55;170;328;54;3771
"Semana 35";7;9;23;37;60;46;47;22;20;448;11;42;715;196;63;182;234;473;437;366;33;2;-;77;197;288;36;4071
"Semana 36";11;4;32;35;100;23;22;12;19;326;11;43;692;227;150;163;143;410;252;240;29;4;-;83;140;257;21;3449
"Semana 37";16;12;36;25;84;32;27;15;25;316;20;73;697;217;241;213;201;624;216;383;29;-;-;57;173;298;13;4043
"Semana 38";13;14;28;31;66;24;33;16;12;236;15;57;623;227;352;168;173;726;244;385;41;-;-;60;173;323;12;4052
"Semana 39";16;6;26;16;86;18;33;36;15;210;18;45;595;220;189;143;209;569;198;331;42;2;1;74;172;254;27;3551
"Semana 40";20;2;54;4;75;21;27;25;18;173;16;30;632;211;225;164;177;765;212;340;53;1;-;71;163;318;45;3842
"Semana 41";18;8;31;10;46;17;39;17;24;126;9;28;564;234;180;132;178;680;170;307;51;1;1;82;180;339;27;3499
"Semana 42";37;17;8;6;75;16;39;40;13;154;10;24;676;307;248;128;262;870;201;395;44;1;-;115;190;409;11;4296
"Semana 43";21;11;18;3;35;11;30;51;25;87;13;24;826;393;207;88;240;865;207;386;43;-;2;155;177;397;26;4341
"Semana 44";20;9;11;1;68;57;51;41;10;99;6;23;862;323;196;136;317;839;208;465;74;1;1;228;208;454;25;4733
"Semana 45";13;11;15;4;84;12;60;27;14;108;5;51;1584;452;345;254;477;768;364;524;107;2;1;396;217;528;60;6483
"Semana 46";20;13;21;-;73;61;70;29;19;129;10;60;1934;739;279;290;603;757;356;701;141;1;-;465;279;623;105;7778
"Semana 47";34;13;21;3;47;11;88;48;20;113;6;82;2195;434;409;261;841;789;428;827;194;4;-;671;423;691;41;8694
"Semana 48";55;14;8;1;111;8;130;126;25;95;20;250;2678;423;362;483;1175;953;652;1009;249;2;4;940;770;776;37;11356
"Semana 49";66;29;16;7;108;21;168;135;30;142;16;571;2389;329;274;734;1556;1304;827;1209;317;4;2;925;866;1003;72;13120
"Semana 50";73;28;29;7;134;22;206;116;19;155;26;576;3343;353;145;706;2171;1568;1120;1675;491;8;4;746;828;1113;110;15772
"Semana 51";66;21;18;3;67;5;131;52;29;107;11;597;1830;309;116;359;1976;1050;905;1508;402;3;8;647;510;915;84;11729
"Semana 52";140;13;17;1;66;14;167;35;20;51;20;708;1227;290;68;450;3209;1162;1015;2555;639;15;7;836;532;1032;100;14389
"Total";1822;5109;2501;972;5793;3160;6951;5056;6497;57700;5981;13991;71861;17497;7092;24519;163451;32108;40949;698806;42375;3687;1306;23479;18850;104952;9646;1376111
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 25/01/2022, sujeitos a revisão.
 *Data da publicação dos dados 03/2022.
 
