DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2018
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 35";7;51;11;9;28;12;13;16;10;55;207;45;131;49;2;48;95;135;75;75;4;1;-;25;24;468;7;1603
"Semana 36";2;30;6;3;13;8;6;11;22;39;171;69;64;28;1;39;81;82;55;54;8;-;-;8;31;347;6;1184
"Semana 37";8;64;6;1;16;10;5;18;19;48;150;41;86;33;4;36;92;99;61;54;5;-;1;13;34;335;12;1251
"Semana 38";1;115;9;2;17;10;11;22;12;42;87;49;83;36;-;33;88;113;57;73;6;-;-;15;27;391;12;1311
"Semana 39";5;98;3;4;8;6;16;10;22;38;112;44;62;31;1;30;99;109;66;77;5;2;-;18;24;459;12;1361
"Semana 40";6;99;5;3;7;4;9;5;7;35;85;29;72;29;1;24;99;120;47;100;7;1;-;21;27;504;5;1351
"Semana 41";2;116;5;9;8;6;12;10;13;41;84;33;75;26;7;26;103;110;57;80;4;-;-;7;14;381;5;1234
"Semana 42";19;206;7;5;9;22;13;27;3;28;67;46;49;37;4;42;96;134;59;118;12;-;-;16;36;468;18;1541
"Semana 43";2;233;6;3;6;15;11;16;13;27;44;30;62;31;4;52;128;134;75;127;6;-;-;26;21;522;20;1614
"Semana 44";9;296;3;3;9;17;18;8;8;19;35;40;50;27;1;34;117;116;58;174;18;-;-;25;29;485;20;1619
"Semana 45";8;365;13;1;22;10;44;22;13;25;70;34;64;30;5;59;180;108;74;202;12;1;-;41;44;657;31;2135
"Semana 46";4;308;2;1;13;2;45;7;4;17;40;17;59;23;7;41;156;90;58;251;5;-;-;132;33;594;21;1930
"Semana 47";10;347;6;6;48;4;69;14;10;16;41;36;58;52;4;54;247;131;79;367;6;1;1;212;43;776;33;2671
"Semana 48";5;339;5;1;22;2;104;5;6;20;29;33;45;19;4;45;280;170;96;396;12;-;1;352;74;941;58;3064
"Semana 49";2;388;9;3;53;6;108;8;5;12;39;47;35;36;2;32;331;227;142;509;28;-;1;594;85;907;41;3650
"Semana 50";4;300;7;3;50;10;158;9;18;23;30;25;26;28;4;75;529;274;165;753;26;-;-;575;96;1051;57;4296
"Semana 51";5;254;7;2;39;4;196;9;20;17;47;26;36;39;-;101;594;289;137;1001;22;-;-;639;85;1057;65;4691
"Semana 52";3;199;5;3;19;7;151;7;14;21;44;26;19;30;2;80;498;311;133;1015;17;4;-;624;38;696;88;4054
"Total";513;5989;646;105;1786;761;2296;1675;1531;3950;11741;6895;6472;2132;182;5245;23964;8642;8488;14922;867;69;26;5227;6508;71686;1386;193704
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 25/01/2022, sujeitos a revisão.
 *Data da publicação dos dados 03/2022.
 
