DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2014
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 25";18;74;30;24;34;23;71;25;336;607;95;114;285;404;71;180;731;379;66;2838;123;2;-;23;78;1420;368;8419
"Semana 26";20;112;69;25;33;20;53;32;250;738;90;87;155;359;54;132;670;374;56;2767;142;-;1;43;98;1267;442;8089
"Semana 27";12;99;32;20;34;6;33;26;256;724;93;78;180;399;55;151;359;325;41;1731;106;-;1;26;43;982;344;6156
"Semana 28";9;102;34;22;28;2;32;40;266;687;84;89;179;390;57;170;305;286;43;993;73;1;-;32;46;751;370;5091
"Semana 29";8;107;29;31;25;5;18;28;240;683;87;78;155;397;51;107;235;257;39;1076;82;-;-;26;59;631;327;4781
"Semana 30";13;156;31;13;30;9;17;23;250;594;45;68;155;377;74;90;180;331;38;724;112;-;-;14;43;634;250;4271
"Semana 31";7;175;22;26;37;11;21;24;154;576;60;71;106;333;47;108;126;249;26;565;41;1;-;12;46;493;235;3572
"Semana 32";8;238;17;23;23;7;21;29;100;495;63;59;92;331;30;120;111;206;26;431;27;1;1;15;44;480;95;3093
"Semana 33";8;190;58;30;16;5;24;31;114;400;35;43;69;336;21;99;106;215;32;336;126;1;-;11;47;446;65;2864
"Semana 34";9;396;25;19;28;9;24;33;84;388;40;42;56;244;35;76;85;172;34;317;53;-;-;14;50;472;106;2811
"Semana 35";13;764;32;11;38;3;16;20;77;364;38;36;42;269;27;97;88;200;43;278;18;-;-;11;44;368;57;2954
"Semana 36";7;1030;24;12;40;4;18;31;63;307;34;41;49;241;27;66;85;189;23;240;38;-;-;13;47;289;47;2965
"Semana 37";7;1526;25;28;20;10;11;19;44;293;20;44;51;226;25;94;110;191;18;274;33;1;-;13;80;308;27;3498
"Semana 38";8;1753;37;20;24;11;12;33;69;226;18;41;30;186;33;58;115;136;28;288;15;-;-;13;68;370;29;3621
"Semana 39";7;1824;39;18;30;18;18;15;61;261;23;42;32;194;14;87;112;180;36;248;22;3;-;25;61;358;18;3746
"Semana 40";9;2074;28;25;31;14;22;7;36;222;30;30;18;164;18;75;126;149;29;250;33;2;-;15;52;322;29;3810
"Semana 41";10;1726;23;25;50;14;34;7;36;191;33;31;32;141;13;76;145;121;18;331;38;-;-;17;64;400;8;3584
"Semana 42";18;1778;15;15;63;15;22;12;31;160;42;46;44;164;22;68;123;122;25;307;33;1;-;26;57;386;5;3600
"Semana 43";12;1889;12;11;61;10;27;10;31;136;40;33;32;160;26;63;113;81;39;359;39;1;-;42;55;372;12;3666
"Semana 44";32;1352;18;18;26;14;35;8;29;128;16;41;32;107;9;66;96;106;79;354;29;1;-;26;53;397;4;3076
"Semana 45";46;1364;30;15;54;13;28;15;46;107;32;54;40;119;17;48;141;94;24;377;39;1;-;39;56;468;7;3274
"Semana 46";96;1249;28;14;49;22;37;13;34;143;38;32;41;108;21;54;117;173;44;467;26;2;-;21;60;439;13;3341
"Semana 47";65;1252;14;12;26;18;29;11;42;129;23;20;58;119;25;44;156;133;31;489;33;-;-;26;49;589;22;3415
"Semana 48";54;1325;34;10;33;14;41;14;27;138;21;11;69;101;23;69;111;127;45;570;37;-;-;30;76;587;17;3584
"Semana 49";33;1110;32;20;64;15;45;18;27;152;28;31;55;86;51;57;146;126;54;605;18;-;-;23;89;620;21;3526
"Semana 50";22;884;51;18;40;21;39;28;32;146;20;20;89;84;32;62;142;133;52;844;27;-;-;56;98;622;24;3586
"Semana 51";33;763;40;14;37;20;53;64;15;180;19;23;56;69;26;47;139;91;82;995;38;-;-;34;78;693;10;3619
"Semana 52";21;470;29;12;26;3;40;38;26;99;13;19;89;40;17;15;98;66;69;805;23;2;-;22;43;441;19;2545
"Semana 53";28;426;37;16;19;13;56;35;16;145;9;15;64;43;19;36;136;82;80;1385;49;1;1;80;58;509;17;3375
"Total";1630;27501;3897;882;3262;926;3291;1629;6572;19522;4179;3655;6896;11214;2090;8562;49622;17921;3516;207072;20062;74;84;2736;6175;75020;13198;501188
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 25/01/2022, sujeitos a revisão.
 *Data da publicação dos dados 03/2022.
 
